categoria_completa,categoria,nivel_1,nivel_2,nivel_3,nivel_4,categoria_real,quantidade,link
Acessórios para Veículos / Peças de Carros e Caminhonetes / Motor / Turbos e Supercargadores > Supercargadores > Acoplamentos / Acoplamentos,Acessórios para Veículos > Peças de Carros e Caminhonetes > Motor > Turbos e Supercargadores > Supercargadores > Acoplamentos,Acessórios para Veículos,Peças de Carros e Caminhonetes,Motor,Turbos e Supercargadores > Supercargadores > Acoplamentos,Acoplamentos,4,https://lista.mercadolivre.com.br/acessorios-veiculos/pecas-carros-caminhonetes/motor/turbos-supercargadores/supercargadores/acoplamentos/outros_NoIndex_True#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D5%26applied_value_id%3DMLB458940%26applied_value_name%3DAcoplamentos%26applied_value_order%3D1%26applied_value_results%3D12%26is_custom%3Dfalse
Acessórios para Veículos / Peças de Carros e Caminhonetes / Motor / Turbos e Supercargadores > Supercargadores > Sopladores de Supercargador / Sopladores Supercargador,Acessórios para Veículos > Peças de Carros e Caminhonetes > Motor > Turbos e Supercargadores > Supercargadores > Sopladores de Supercargador,Acessórios para Veículos,Peças de Carros e Caminhonetes,Motor,Turbos e Supercargadores > Supercargadores > Sopladores de Supercargador,Sopladores Supercargador,6,https://lista.mercadolivre.com.br/acessorios-veiculos/pecas-carros-caminhonetes/motor/turbos-supercargadores/supercargadores/sopladores-supercargador/outros_NoIndex_True#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D5%26applied_value_id%3DMLB458939%26applied_value_name%3DSopladores+de+Supercargador%26applied_value_order%3D7%26applied_value_results%3D8%26is_custom%3Dfalse
Acessórios para Veículos / Peças de Carros e Caminhonetes / Motor / Turbos e Supercargadores > Supercargadores > Supercargadores / Supercargadores,Acessórios para Veículos > Peças de Carros e Caminhonetes > Motor > Turbos e Supercargadores > Supercargadores > Supercargadores,Acessórios para Veículos,Peças de Carros e Caminhonetes,Motor,Turbos e Supercargadores > Supercargadores > Supercargadores,Supercargadores,3,https://lista.mercadolivre.com.br/acessorios-veiculos/pecas-carros-caminhonetes/motor/turbos-supercargadores/supercargadores/supercargadores/outros_NoIndex_True#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D5%26applied_value_id%3DMLB458937%26applied_value_name%3DSupercargadores%26applied_value_order%3D8%26applied_value_results%3D4%26is_custom%3Dfalse
Acessórios para Veículos / Peças de Carros e Caminhonetes / Motor / Turbos e Supercargadores > Supercargadores / Outros,Acessórios para Veículos > Peças de Carros e Caminhonetes > Motor > Turbos e Supercargadores > Supercargadores,Acessórios para Veículos,Peças de Carros e Caminhonetes,Motor,Turbos e Supercargadores > Supercargadores,Outros,1,https://lista.mercadolivre.com.br/acessorios-veiculos/pecas-carros-caminhonetes/motor/turbos-supercargadores/supercargadores/outros/outros_NoIndex_True#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D5%26applied_value_id%3DMLB458944%26applied_value_name%3DOutros%26applied_value_order%3D11%26applied_value_results%3D4%26is_custom%3Dfalse
Acessórios para Veículos / Pneus e Acessórios / Aeronaves,Acessórios para Veículos > Pneus e Acessórios,Acessórios para Veículos,Pneus e Acessórios,,,Aeronaves,8,https://lista.mercadolivre.com.br/acessorios-veiculos/pneus/aeronaves/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Serviços Programados / Filtros e Fluidos / Cambio Lubrificante Caixa,Acessórios para Veículos > Serviços Programados > Filtros e Fluidos,Acessórios para Veículos,Serviços Programados,Filtros e Fluidos,,Cambio Lubrificante Caixa,5,https://lista.mercadolivre.com.br/acessorios-veiculos/servicos-programados/filtros-fluidos/cambio-lubrificante-caixa/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Serviços Programados / Filtros e Fluidos / Cambio de Líquido Refrigerante / Cambio Liquido Refrigerante,Acessórios para Veículos > Serviços Programados > Filtros e Fluidos > Cambio de Líquido Refrigerante,Acessórios para Veículos,Serviços Programados,Filtros e Fluidos,Cambio de Líquido Refrigerante,Cambio Liquido Refrigerante,0,https://lista.mercadolivre.com.br/acessorios-veiculos/servicos-programados/filtros-fluidos/cambio-liquido-refrigerante/
Acessórios para Veículos / Serviços Programados / Filtros e Fluidos / Cambio de Líquido de Freios / Cambio Liquido Freios,Acessórios para Veículos > Serviços Programados > Filtros e Fluidos > Cambio de Líquido de Freios,Acessórios para Veículos,Serviços Programados,Filtros e Fluidos,Cambio de Líquido de Freios,Cambio Liquido Freios,0,https://lista.mercadolivre.com.br/acessorios-veiculos/servicos-programados/filtros-fluidos/cambio-liquido-freios/
Acessórios para Veículos / Serviços Programados / Filtros e Fluidos / Outros,Acessórios para Veículos > Serviços Programados > Filtros e Fluidos,Acessórios para Veículos,Serviços Programados,Filtros e Fluidos,,Outros,1,https://lista.mercadolivre.com.br/acessorios-veiculos/servicos-programados/filtros-fluidos/outros/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Serviços Programados / Filtros e Fluidos / Servico Filtros Fluidos,Acessórios para Veículos > Serviços Programados > Filtros e Fluidos,Acessórios para Veículos,Serviços Programados,Filtros e Fluidos,,Servico Filtros Fluidos,3,https://lista.mercadolivre.com.br/acessorios-veiculos/servicos-programados/filtros-fluidos/servico-filtros-fluidos/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Serviços Programados / Freios / Outros,Acessórios para Veículos > Serviços Programados > Freios,Acessórios para Veículos,Serviços Programados,Freios,,Outros,1,https://lista.mercadolivre.com.br/acessorios-veiculos/servicos-programados/freios/outros/_NoIndex_True?original_category_landing=true
