Categoria;Qtd_Produtos;% do Total;% Acumulado;Rank
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Kits Monitoramento Bateria;3982133;3,29205042670807;3,29205042670807;1
Acessórios para Veículos / Kits Duas Vias;3395556;2,807124116324379;6,099174543032449;2
Acessórios para Veículos / Som Automotivo / Kits Estereo Alto Falante;2421458;2,0018321442693323;8,101006687301782;3
Acessórios para Veículos / Som Automotivo / Reprodutores / Estéreos / Com Tela;2117883;1,750865085085749;9,85187177238753;4
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Interior / Tapetes;1794915;1,4838657301638887;11,335737502551419;5
Acessórios para Veículos / Peças de Carros e Caminhonetes / Suspensão e Direção / Batentes;1610142;1,3311129131449364;12,666850415696356;6
Acessórios para Veículos / Peças de Carros e Caminhonetes / Suspensão e Direção / Amortecedores;1354629;1,1198789637315294;13,786729379427886;7
Acessórios para Veículos / Peças de Motos e Quadriciclos / Kits Pistao Camisa;1299615;1,0743985987675972;14,861127978195483;8
Acessórios para Veículos / Tuning / Adesivos e Stickers / Stickers;1225933;1,0134852994024823;15,874613277597966;9
Acessórios para Veículos / Peças de Carros e Caminhonetes / Iluminação / Faróis / Farois Traseiros;1039246;0,8591501684536038;16,73376344605157;10
Acessórios para Veículos / Peças de Carros e Caminhonetes / Iluminação / Faróis / Faróis Traseiros / Outros;1037503;0,8577092211287024;17,59147266718027;11
Acessórios para Veículos / Peças de Carros e Caminhonetes / Iluminação / Pecas Carros E Caminhonetes Iluminacao Farois Dianteiros;925973;0,7655067798514394;18,35697944703171;12
Acessórios para Veículos / Peças de Carros e Caminhonetes / Iluminação / Faróis Dianteiros / Outros;923730;0,7636524798802666;19,120631926911976;13
Acessórios para Veículos / Peças de Carros e Caminhonetes / Motor / Juntas, Selos e Ferragens / Juntas e Selos / Juntas;905373;0,7484766508250642;19,86910857773704;14
Acessórios para Veículos / Tuning / Kits Xenon;897408;0,7418919431699634;20,611000520907005;15
Acessórios para Veículos / Peças de Carros e Caminhonetes / Suspensão e Direção / Buchas Suspensao;879763;0,7273047282830513;21,338305249190057;16
Acessórios para Veículos / Peças de Carros e Caminhonetes / Freios / Pastilhas Freios;836114;0,6912198689688646;22,029525118158922;17
Acessórios para Veículos / Peças de Carros e Caminhonetes / Filtros / Filtros Ar;698303;0,5772907858982926;22,606815904057214;18
Acessórios para Veículos / Peças de Linha Pesada / Kits Completos Amortecedores;686377;0,567431498579431;23,174247402636645;19
Acessórios para Veículos / Peças de Motos e Quadriciclos / Kit Transmissao;681492;0,5633930432253609;23,737640445862006;20
Acessórios para Veículos / Peças de Carros e Caminhonetes / Carroceria / Maçanetas de Carros / Carroceria Macanetas Carros Portas;663521;0,54853632241308;24,286176768275087;21
